"laying" "sitting" "standing" "walking" "walking_downstairs" "walking_upstairs"
"tBodyGyroJerk-mean()-X" -0.0829159966093231 -0.107859315713249 -0.103522877147351 -0.0971120197265994 -0.0991554609633431 -0.0875587491668874
"tBodyGyroJerk-mean()-Y" -0.0454921005615385 -0.0400427574662461 -0.0490624519374172 -0.0417164808293948 -0.0401923943695015 -0.0433986835453642
"tBodyGyroJerk-mean()-Z" -0.0533610323667692 -0.0578089304000631 -0.0506258160122517 -0.0471393985477522 -0.0521178264170088 -0.0557541828188742
"tBodyGyroJerk-std()-X" -0.546009968372308 -0.723788617823344 -0.662581310334437 -0.637812687210375 -0.689328428607038 -0.671679103311258
"tBodyGyroJerk-std()-Y" -0.677635980501539 -0.902502592618297 -0.774114270364238 -0.634472244550432 -0.842659862111437 -0.783595466728477
"tBodyGyroJerk-std()-Z" -0.203990054925538 -0.0633908272408517 -0.0340190859350993 -0.140014582478069 -0.107025768144897 -0.239284362336755
"tBodyAccMag-mean()" -0.464770006998123 -0.56158213510694 -0.460866415568709 -0.453632943768818 -0.563140802770059 -0.535281800541722
"tBodyAccMag-std()" -0.0309695179415385 -0.0458894548291167 -0.0632658570116026 -0.0491918153835735 -0.0629949821747801 -0.0570892316399371
"tGravityAccMag-mean()" -0.464770006998123 -0.56158213510694 -0.460866415568709 -0.453632943768818 -0.563140802770059 -0.535281800541722
"tGravityAccMag-std()" -0.0309695179415385 -0.0458894548291167 -0.0632658570116026 -0.0491918153835735 -0.0629949821747801 -0.0570892316399371
"tBodyAccJerkMag-mean()" -0.551413652396923 -0.656116311856877 -0.589313870006622 -0.545431612066571 -0.650182434328446 -0.58777744543543
"tBodyAccJerkMag-std()" -0.0325159345524923 -0.00490527515883281 -0.0313219733798013 0.0359250982402594 0.00407820575718475 0.0688931637195364
"tBodyGyroMag-mean()" -0.549494852037046 -0.656291093847319 -0.602770284825828 -0.475404785802305 -0.643150121648094 -0.614771054893146
"tBodyGyroMag-std()" -0.110977092557034 0.0579308807350473 -0.0977463073887417 -0.117131960956974 -0.0535119465671848 -0.0766789491913907
"tBodyGyroJerkMag-mean()" -0.621936158532308 -0.819191368044164 -0.707383517582782 -0.639517432642651 -0.784056656246334 -0.746559539039735
"tBodyGyroJerkMag-std()" -0.0325382515803077 -0.140723275164984 0.0532652248103642 -0.128115556073487 -0.121169067362152 -0.00727562749645695
"fBodyAcc-mean()-X" -0.506174926221538 -0.628806379100946 -0.55123770513245 -0.531895161258213 -0.625733289873607 -0.57377091142947
"fBodyAcc-mean()-Y" -0.392041410138769 -0.52583456615142 -0.440232431795033 -0.406435448904438 -0.501779938505279 -0.432566581302351
"fBodyAcc-mean()-Z" -0.683725945015385 -0.755235428895899 -0.696171811490066 -0.596411165253602 -0.699656828592375 -0.630081222124834
"fBodyAcc-std()-X" -0.506680276530492 -0.597551324155678 -0.492829885748675 -0.553060616663401 -0.623805015199413 -0.619788102803311
"fBodyAcc-std()-Y" -0.396677793847908 -0.534661524341987 -0.422162171100331 -0.390150939647061 -0.502753639795894 -0.464723862913245
"fBodyAcc-std()-Z" -0.821065087701538 -0.903664158107256 -0.911614873907285 -0.902904010596542 -0.878637490516129 -0.845899133288079
"fBodyAcc-meanFreq()-X" -0.191537066813538 -0.184518571319811 -0.226370689942053 -0.180558714010749 -0.192817340495308 -0.106763418901788
"fBodyAcc-meanFreq()-Y" 0.0590114878605846 0.0847707537883281 0.0748636861897351 0.0576291646962536 0.0389282523284457 0.105734176023146
"fBodyAcc-meanFreq()-Z" -0.949474152707692 -0.982081375678233 -0.977865027350993 -0.946905131729107 -0.979676490821114 -0.961691047019868
"fBodyAccJerk-mean()-X" -0.549394273848923 -0.652023078038801 -0.604769869438742 -0.547348892435764 -0.645893496630499 -0.561682049622185
"fBodyAccJerk-mean()-Y" -0.503558973703692 -0.601696223759495 -0.550991969857417 -0.507343617969859 -0.582949919157742 -0.50890379901457
"fBodyAccJerk-mean()-Z" -0.720867157741538 -0.825154871135647 -0.768762357980132 -0.695305113832853 -0.780101644193548 -0.715745330403973
"fBodyAccJerk-std()-X" -0.555346159400332 -0.644622004704416 -0.584013626983444 -0.543979776127867 -0.657844055881525 -0.595105612895033
"fBodyAccJerk-std()-Y" -0.437837459287385 -0.593855151524606 -0.491500434303907 -0.466251676533372 -0.559851186088408 -0.509147543673841
"fBodyAccJerk-std()-Z" -0.293661538461538 -0.27596214511041 -0.285298013245033 -0.300634005763689 -0.341466275659824 -0.283311258278146
"fBodyAccJerk-meanFreq()-X" -0.0956140259974462 -0.000543991796466877 -0.10292084499106 -0.0488005965884726 -0.0476941200470968 0.0868000536209801
"fBodyAccJerk-meanFreq()-Y" -0.305422668448923 -0.180584111376656 -0.27429092242043 -0.21527915818415 -0.236874240885924 -0.139776595362185
"fBodyAccJerk-meanFreq()-Z" -0.947472011790769 -0.983123317949527 -0.979199594966887 -0.950222492449568 -0.980556463255132 -0.962758089536424
"fBodyGyro-mean()-X" -0.537201442069846 -0.641881977553943 -0.632239300829801 -0.623219182311527 -0.642097719778592 -0.638717694593046
"fBodyGyro-mean()-Y" -0.621188724858462 -0.831527531009464 -0.71706218781457 -0.505309434070029 -0.775144985073314 -0.722068978635762
"fBodyGyro-mean()-Z" -0.507604207506462 -0.689308946422713 -0.537329127293278 -0.553529065425648 -0.670734708996481 -0.601594889654305
"fBodyGyro-std()-X" -0.692862440004 -0.721749187328076 -0.73573857718543 -0.708263420861671 -0.719276622702346 -0.734588540182119
"fBodyGyro-std()-Y" -0.633236229753846 -0.782885735867508 -0.702290390960265 -0.429825832648703 -0.758505287214076 -0.72716774102649
"fBodyGyro-std()-Z" -0.601909814526154 -0.8546720329653 -0.629367435225166 -0.814369472556196 -0.80139548982698 -0.840374514533113
"fBodyGyro-meanFreq()-X" 0.0289087194733538 -0.118518212447287 -0.0381646986649007 -0.0320324102759078 -0.102568067670674 -0.00576500648245033
"fBodyGyro-meanFreq()-Y" -0.0427900206246154 -0.375332544565931 -0.0720666007195695 -0.0901517235974063 -0.167675025582991 -0.0702155008665563
"fBodyGyro-meanFreq()-Z" -0.903332518861538 -0.941390245047319 -0.938884676423841 -0.956784694409222 -0.976900586774194 -0.923628837119205
"fBodyAccMag-mean()" -0.473974924380431 -0.602098037677603 -0.528503022745033 -0.478448523354179 -0.579076453758064 -0.514569861316887
"fBodyAccMag-std()" -0.758514588523077 -0.736756226876972 -0.687143182880795 -0.738249031040346 -0.708767317131965 -0.729390271582781
"fBodyAccMag-meanFreq()" -0.597637325353846 -0.58316700245836 -0.622500047417219 -0.688715625787608 -0.672093167772434 -0.685566062996689
"fBodyBodyAccJerkMag-mean()" -0.494882316238462 -0.63501900541041 -0.573176177044172 -0.499075765624092 -0.604752108072727 -0.509746432970861
"fBodyBodyAccJerkMag-std()" -0.909255187538462 -0.898152319198738 -0.896037000178808 -0.870820179994236 -0.885583948398827 -0.869862291854305
"fBodyBodyAccJerkMag-meanFreq()" -0.608244930483077 -0.562303965280442 -0.584574026338079 -0.637882103117867 -0.561776583640469 -0.593132222930066
"fBodyBodyGyroMag-mean()" -0.579130051151385 -0.745650754608833 -0.677355755703311 -0.535002770337752 -0.716822144279179 -0.699742945221854
"fBodyBodyGyroMag-std()" -0.866824457772308 -0.901965542492114 -0.876040074966887 -0.874381142853026 -0.90570719686217 -0.852266938543046
"fBodyBodyGyroMag-meanFreq()" -0.728848991710769 -0.527797350798107 -0.628709449615894 -0.506323319276945 -0.577542913560537 -0.605982196850993
"fBodyBodyGyroJerkMag-mean()" -0.651886909221538 -0.838833209652997 -0.748829309536424 -0.645970655298847 -0.810085498651026 -0.751615078360927
"fBodyBodyGyroJerkMag-std()" -0.931330889784615 -0.915777876908517 -0.915589191688742 -0.885549607172911 -0.927849926480938 -0.908230840198676
